Rufino,m
Ruggero,m
Ruggiero,m
Sabino,m
Salvatore,m
Samuele,m
Sandro,m
Sansone,m
Santino,m
Santo,m
Saturnino,m
Saverio,m
Savino,m
Savio,m
Scevola,m
Sebastiano,m
Serafino,m
Sergio,m
Sesto,m
Settimio,m
Severiano,m
Severino,m
Severo,m
Sigfrido,m
Silvano,m
Silvestro,m
Silvio,m
Stefano,m
Tacito,m
Taddeo,m
Tammaro,m
Tancredi,m
Teo,m
Teobaldo,m
Teodoro,m
Teodosio,m
Teofilo,m
Terenzio,m
Terzo,m
Timoteo,m
Tino,m
Tito,m
Tiziano,m
Tommaso,m
Tonino,m
Tonio,m
Tullio,m
Uberto,m
Ugo,m
Ulderico,m
Ulisse,m
Umberto,m
Urbano,m
Valentino,m
Valerio,m
Vanni,m
Vasco,m
Venceslao,m
Vespasiano,m
Vico,m
Vilfredo,m
Vincente,m
Vincenzo,m
Vinicio,m
Virgilio,m
Vitale,m
Vito,m
Vittore,m
Vittorino,m
Vittorio,m
Walter,m
Ada,f
Adelaide,f
Adele,f
Adelina,f
Adriana,f
Agata,f
Agnese,f
Agostina,f
Alberta,f
Albertina,f
Albina,f
Alessa,f
Alessandra,f
Alessia,f
Alfonsina,f
Alfreda,f
Alice,f
Allegra,f
Alma,f
Amalia,f
Amanda,f
Amaranta,f
Ambra,f
Amedea,f
Amelia,f
Anastasia,f
Andreina,f
Angela,f
Angelica,f
Angelina,f
Anna,f
Annabella,f
Annalisa,f
Annetta,f
Annunciata,f
Annunziata,f
Anselma,f
Antonella,f
Antonia,f
Antonietta,f
Antonina,f
Arianna,f
Armida,f
Assunta,f
Augusta,f
Aurelia,f
Aureliana,f
Aurora,f
Azzurra,f
Balbina,f
Barbara,f
Beatrice,f
Benedetta,f
Benigna,f
Berenice,f
Bernardetta,f
Bernardina,f
Berta,f
Bianca,f
Bibiana,f
Bice,f
Brigida,f
Bruna,f
Brunella,f
Brunilda,f
Calogera,f
Camilla,f
Carla,f
Carlotta,f
Carmela,f
Carmen,f
Carmina,f
Carola,f
Carolina,f
Cassandra,f
Catarina,f
Caterina,f
Cecilia,f
Celeste,f
Celestina,f
Celia,f
Cesarina,f
Chiara,f
Chiarina,f
Cinzia,f
Clara,f
Claretta,f
Clarissa,f
Claudia,f
Clelia,f
Clementina,f
Clio,f
Cloe,f
Clotilde,f
Colomba,f
Colombina,f
Concetta,f
Concettina,f
Consolata,f
Cornelia,f
Cosima,f
Cristiana,f
Cristina,f
Crocetta,f
Crocifissa,f
Dafne,f
Damiana,f
Daniela,f
Daria,f
Debora,f
Delfina,f
Desideria,f
